,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV4864,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,NA,NA
ASV4865,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
ASV4866,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces odontolyticus
ASV4867,Bacteria,NA,NA,NA,NA,NA,NA
ASV4868,Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,NA
ASV4869,Bacteria,NA,NA,NA,NA,NA,NA
ASV4870,Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,NA
ASV4871,Bacteria,Actinobacteria,Actinobacteria,NA,NA,NA,NA
ASV4872,Bacteria,Bacteroidetes,Bacteroidetes [C-1],Bacteroidetes [O-1],Bacteroidetes [F-1],NA,NA
ASV4873,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonellaceae [G-1],Veillonellaceae [G-1] bacterium_HMT132
ASV4874,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas infelix
ASV4875,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,NA
ASV4876,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae [XI],Peptostreptococcaceae [XI][G-3],Peptostreptococcaceae [XI][G-3] bacterium_HMT495
ASV4877,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Tannerella,Tannerella sp.HMT808
ASV4878,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,NA
ASV4879,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium necrophorum
ASV4880,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
ASV4881,Bacteria,NA,NA,NA,NA,NA,NA
ASV4882,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
ASV4883,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium durum
ASV4884,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas sputigena
ASV4885,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
ASV4886,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Fretibacterium,Fretibacterium sp.HMT362
ASV4887,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Anaerococcus,Anaerococcus sp.HMT290
ASV4888,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia sp.HMT217
ASV4889,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema sp.HMT246
ASV4890,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
ASV4891,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella denticariosi
ASV4892,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus italicus
ASV4893,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella intermedia
ASV4894,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,NA
ASV4895,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas sp.HMT134
ASV4896,Bacteria,NA,NA,NA,NA,NA,NA
ASV4897,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA
ASV4898,Bacteria,NA,NA,NA,NA,NA,NA
ASV4899,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema denticola
ASV4900,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA
ASV4901,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Eggerthia,Eggerthia catenaformis
ASV4902,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Alloprevotella rava
ASV4903,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas sp.HMT278
ASV4904,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister pneumosintes
ASV4905,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aggregatibacter sp.HMT512
ASV4906,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella fusca
ASV4907,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio sp.HMT040
ASV4908,Bacteria,Firmicutes,NA,NA,NA,NA,NA
ASV4909,Bacteria,Firmicutes,NA,NA,NA,NA,NA
ASV4910,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Lachnoanaerobaculum,NA
ASV4911,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Kocuria,Kocuria rhizophila
ASV4912,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella sp.HMT475
ASV4913,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia sp.HMT879
ASV4914,Bacteria,NA,NA,NA,NA,NA,NA
ASV4915,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus saccharolyticus
ASV4916,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Stomatobaculum,Stomatobaculum sp.HMT373
ASV4917,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp.HMT180
ASV4918,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella sp.HMT475
ASV4919,Bacteria,NA,NA,NA,NA,NA,NA
ASV4920,Bacteria,Proteobacteria,NA,NA,NA,NA,NA
ASV4921,Bacteria,Gracilibacteria (GN02),NA,NA,NA,NA,NA
ASV4922,Bacteria,NA,NA,NA,NA,NA,NA
ASV4923,Bacteria,NA,NA,NA,NA,NA,NA
ASV4924,Bacteria,NA,NA,NA,NA,NA,NA
ASV4925,Bacteria,NA,NA,NA,NA,NA,NA
ASV4926,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum,Ochrobactrum anthropi
ASV4927,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,NA,NA
ASV4928,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Sanguibacteraceae,Sanguibacter,Sanguibacter keddieii
ASV4929,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella denticariosi
ASV4930,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella denticariosi
ASV4931,Bacteria,Actinobacteria,Actinobacteria,NA,NA,NA,NA
ASV4932,Bacteria,Proteobacteria,NA,NA,NA,NA,NA
ASV4933,Bacteria,Firmicutes,Negativicutes,NA,NA,NA,NA
ASV4934,Bacteria,Bacteroidetes,NA,NA,NA,NA,NA
ASV4935,Bacteria,NA,NA,NA,NA,NA,NA
ASV4936,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter sp.HMT321
ASV4937,Bacteria,Bacteroidetes,NA,NA,NA,NA,NA
ASV4938,Bacteria,NA,NA,NA,NA,NA,NA
ASV4939,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythromicrobium,Erythromicrobium ramosum
ASV4940,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter sp.HMT321
ASV4941,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,NA,NA,NA
ASV4942,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas sp.HMT136
ASV4943,Bacteria,Proteobacteria,NA,NA,NA,NA,NA
ASV4944,Bacteria,NA,NA,NA,NA,NA,NA
ASV4945,Bacteria,NA,NA,NA,NA,NA,NA
ASV4946,Bacteria,NA,NA,NA,NA,NA,NA
ASV4947,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella intermedia
ASV4948,Bacteria,NA,NA,NA,NA,NA,NA
ASV4949,Bacteria,NA,NA,NA,NA,NA,NA
ASV4950,Bacteria,Actinobacteria,Actinobacteria,NA,NA,NA,NA
ASV4951,Bacteria,NA,NA,NA,NA,NA,NA
ASV4952,Bacteria,Firmicutes,NA,NA,NA,NA,NA
ASV4953,Bacteria,Proteobacteria,NA,NA,NA,NA,NA
ASV4954,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces meyeri
ASV4955,Bacteria,Firmicutes,Bacilli,Bacillales,NA,NA,NA
ASV4956,Bacteria,Bacteroidetes,NA,NA,NA,NA,NA
ASV4957,Bacteria,NA,NA,NA,NA,NA,NA
ASV4958,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Variovorax paradoxus
ASV4959,Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,NA
ASV4960,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium sp.HMT207
ASV4961,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,NA,NA,NA
ASV4962,Bacteria,Actinobacteria,NA,NA,NA,NA,NA
ASV4963,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium afermentans
ASV4964,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
ASV4965,Bacteria,Actinobacteria,Actinobacteria,NA,NA,NA,NA
ASV4966,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Sanguibacteraceae,Sanguibacter,Sanguibacter keddieii
ASV4967,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonellaceae [G-1],Veillonellaceae [G-1] bacterium_HMT155
ASV4968,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema sp.HMT258
ASV4969,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Peptococcus,Peptococcus sp.HMT168
ASV4970,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae [XI],Peptostreptococcaceae [XI][G-7],Peptostreptococcaceae [XI][G-7] yurii_subspp._yurii_&_margaretiae
ASV4971,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Ottowia,Ottowia sp.HMT894
ASV4972,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas sp.HMT442
ASV4973,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas sputigena
ASV4974,Bacteria,Proteobacteria,NA,NA,NA,NA,NA
ASV4975,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella sp.HMT306
ASV4976,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus sp.HMT036
ASV4977,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas sp.HMT138
ASV4978,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas infelix
ASV4979,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae [XI],Mogibacterium,Mogibacterium vescum
ASV4980,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,Olsenella uli
ASV4981,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus lactarius
ASV4982,Bacteria,Firmicutes,Bacilli,Bacillales,Gemellaceae,Gemella,Gemella bergeri
ASV4983,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,NA
ASV4984,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas sp.HMT134
ASV4985,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium matruchotii
ASV4986,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp.HMT032
ASV4987,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas sp.HMT134
ASV4988,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella nigrescens
ASV4989,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas sp.HMT277
ASV4990,Bacteria,NA,NA,NA,NA,NA,NA
ASV4991,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],NA,NA
ASV4992,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Stomatobaculum,NA
ASV4993,Bacteria,Firmicutes,NA,NA,NA,NA,NA
ASV4994,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella denticariosi
ASV4995,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,NA,NA
ASV4996,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella sp.HMT300
ASV4997,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,NA,NA
ASV4998,Bacteria,Firmicutes,Bacilli,Lactobacillales,NA,NA,NA
ASV4999,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas sputigena
ASV5000,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella denticola
ASV5001,Bacteria,Bacteroidetes,NA,NA,NA,NA,NA
ASV5002,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema sp.HMT237
ASV5003,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Alloprevotella sp.HMT308
ASV5004,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes
ASV5005,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA
ASV5006,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA
ASV5007,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],NA,NA
ASV5008,Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,NA
ASV5009,Bacteria,NA,NA,NA,NA,NA,NA
ASV5010,Bacteria,Actinobacteria,Actinobacteria,NA,NA,NA,NA
ASV5011,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,NA
ASV5012,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],NA,NA
ASV5013,Bacteria,NA,NA,NA,NA,NA,NA
ASV5014,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Anaerococcus,Anaerococcus sp.HMT294
ASV5015,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,NA
ASV5016,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas pseudoalcaligenes
ASV5017,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp.HMT171
ASV5018,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens
ASV5019,Bacteria,NA,NA,NA,NA,NA,NA
ASV5020,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
ASV5021,Bacteria,Proteobacteria,Betaproteobacteria,NA,NA,NA,NA
ASV5022,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Schlegelella,Schlegelella thermodepolymerans
ASV5023,Bacteria,Proteobacteria,NA,NA,NA,NA,NA
ASV5024,Bacteria,Firmicutes,NA,NA,NA,NA,NA
ASV5025,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus pasteuri
ASV5026,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,NA,NA
ASV5027,Bacteria,Bacteroidetes,NA,NA,NA,NA,NA
ASV5028,Bacteria,Bacteroidetes,NA,NA,NA,NA,NA
ASV5029,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sanguinis
ASV5030,Bacteria,Firmicutes,Negativicutes,NA,NA,NA,NA
ASV5031,Bacteria,Actinobacteria,NA,NA,NA,NA,NA
ASV5032,Bacteria,Actinobacteria,Actinobacteria,NA,NA,NA,NA
ASV5033,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dietziaceae,Dietzia,Dietzia cinnamea
ASV5034,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,NA,NA
ASV5035,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,NA,NA
ASV5036,Bacteria,Actinobacteria,Actinobacteria,NA,NA,NA,NA
ASV5037,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,NA
ASV5038,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,NA
ASV5039,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV5040,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavitalea,Flavitalea sp.HMT320
ASV5041,Bacteria,NA,NA,NA,NA,NA,NA
ASV5042,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales [F-3],Clostridiales [F-3][G-1],Clostridiales [F-3][G-1] bacterium_HMT876
ASV5043,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacteriaceae [G-1],Propionibacteriaceae [G-1] bacterium_HMT915
ASV5044,Bacteria,Bacteroidetes,NA,NA,NA,NA,NA
ASV5045,Bacteria,Firmicutes,Bacilli,Bacillales,NA,NA,NA
ASV5046,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,NA
ASV5047,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Alloprevotella sp.HMT912
ASV5048,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces naeslundii
ASV5049,Bacteria,Bacteroidetes,Bacteroidetes [C-1],Bacteroidetes [O-1],Bacteroidetes [F-1],Bacteroidetes [G-3],Bacteroidetes [G-3] bacterium_HMT365
ASV5050,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Tannerella,Tannerella sp.HMT286
ASV5051,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA
ASV5052,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA
ASV5053,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella sp.HMT304
ASV5054,Bacteria,Saccharibacteria (TM7),Saccharibacteria (TM7) [C-1],Saccharibacteria (TM7) [O-1],Saccharibacteria (TM7) [F-1],Saccharibacteria (TM7) [G-8],Saccharibacteria (TM7) [G-8] bacterium_HMT955
ASV5055,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella denticariosi
ASV5056,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella marshii
ASV5057,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
ASV5058,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis
ASV5059,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Lachnospiraceae [G-2],Lachnospiraceae [G-2] bacterium_HMT088
ASV5060,Bacteria,Proteobacteria,NA,NA,NA,NA,NA
ASV5061,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus lactarius
ASV5062,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella sp.HMT317
ASV5063,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae [XI],Peptostreptococcaceae [XI][G-5],Peptostreptococcaceae [XI][G-5] saphenum
ASV5064,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,NA
ASV5065,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium matruchotii
ASV5066,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio sp.HMT040
ASV5067,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
ASV5068,Bacteria,Saccharibacteria (TM7),Saccharibacteria (TM7) [C-1],Saccharibacteria (TM7) [O-1],Saccharibacteria (TM7) [F-1],Saccharibacteria (TM7) [G-1],NA
ASV5069,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas sputigena
ASV5070,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella intermedia
ASV5071,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Peptococcus,Peptococcus sp.HMT168
ASV5072,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA
ASV5073,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas sp.HMT278
ASV5074,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria elongata
ASV5075,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],NA,NA
ASV5076,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Lachnospiraceae [G-10],Lachnospiraceae [G-10] bacterium_HMT094
ASV5077,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,NA,NA,NA
ASV5078,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,Eggerthella lenta
ASV5079,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas noxia
ASV5080,Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,NA
ASV5081,Bacteria,NA,NA,NA,NA,NA,NA
ASV5082,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas sp.HMT138
ASV5083,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
ASV5084,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister invisus
ASV5085,Bacteria,Bacteroidetes,NA,NA,NA,NA,NA
ASV5086,Bacteria,Saccharibacteria (TM7),Saccharibacteria (TM7) [C-1],Saccharibacteria (TM7) [O-1],Saccharibacteria (TM7) [F-1],NA,NA
ASV5087,Bacteria,Actinobacteria,Actinobacteria,NA,NA,NA,NA
ASV5088,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales [F-1],Clostridiales [F-1][G-2],Clostridiales [F-1][G-2] bacterium_HMT402
ASV5089,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavitalea,Flavitalea sp.HMT320
ASV5090,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,NA,NA
ASV5091,Bacteria,Actinobacteria,Actinobacteria,NA,NA,NA,NA
ASV5092,Bacteria,Firmicutes,NA,NA,NA,NA,NA
ASV5093,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella multisaccharivorax
ASV5094,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio sp.HMT040
ASV5095,Bacteria,Actinobacteria,Actinobacteria,NA,NA,NA,NA
ASV5096,Bacteria,NA,NA,NA,NA,NA,NA
ASV5097,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium panipatense
ASV5098,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter sp.HMT321
ASV5099,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythromicrobium,Erythromicrobium ramosum
ASV5100,Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,NA
ASV5101,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium tumefaciens
ASV5102,Bacteria,NA,NA,NA,NA,NA,NA
ASV5103,Bacteria,Proteobacteria,NA,NA,NA,NA,NA
ASV5104,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,NA
ASV5105,Bacteria,NA,NA,NA,NA,NA,NA
ASV5106,Bacteria,NA,NA,NA,NA,NA,NA
ASV5107,Bacteria,Proteobacteria,NA,NA,NA,NA,NA
ASV5108,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,Mesorhizobium loti
ASV5109,Bacteria,Bacteroidetes,NA,NA,NA,NA,NA
ASV5110,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp.HMT032
ASV5111,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,NA,NA
ASV5112,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Kocuria,Kocuria palustris
ASV5113,Bacteria,NA,NA,NA,NA,NA,NA
ASV5114,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
ASV5115,Bacteria,NA,NA,NA,NA,NA,NA
ASV5116,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae [G-2],Ruminococcaceae [G-2] bacterium_HMT085
